sqlzoo_id	title	yr	director	budget	gross	actors
14366	Inglourious Basterds	2009	17687	70000000	320351773	276::Brad Pitt|778::Michael Fassbender|9653::Mélanie Laurent|12754::Eli Roth|13345::Christoph Waltz|17789::Til Schweiger|25763::Diane Kruger
14399	Interview with the Vampire: The Vampire Chronicles	1994	6609	60000000	223664608	276::Brad Pitt|5620::Tom Cruise|5694::Christian Slater|6775::Stephen Rea|8768::Antonio Banderas|11989::Kirsten Dunst
13123	Fight Club	1999	5265	63000000	100900000	276::Brad Pitt|693::Edward Norton|3036::Helena Bonham Carter
17578	Snatch	2000	28764	10000000	83557872	111::Vinnie Jones|276::Brad Pitt|649::Benicio del Toro|676::Lennie James|5299::Sam Douglas|5339::Ewen Bremner|7085::Dennis Farina|14069::Jason Statham|14101::Dave Legeno|14966::Jason Flemyng|18411::Stephen Graham|20080::Alan Ford|23236::Adam Fogerty|30022::Robbie Gee|36623::Ade|36624::Mike Reid|36625::Goldie|36626::William Beck|36627::Nicola Collins|36628::Teena Collins|36629::Sorcha Cusack
21197	Traffic	2000	14366	46000000	207515725	649::Benicio del Toro|1091::Salma Hayek|1543::Michael Douglas|4563::Don Cheadle|4775::Jacob Vargas|5512::Dennis Quaid|5917::Catherine Zeta-Jones|6753::Luis Guzmán|7088::Miguel Ferrer|12218::Clifton Collins Jr.|20275::D.W. Moffett|21135::Erika Christensen|21413::Steven Bauer|25611::Topher Grace
20775	The Usual Suspects	1995	7351	6000000		90::Pete Postlethwaite|636::Kevin Spacey|649::Benicio del Toro|1303::Stephen Baldwin|1472::Chazz Palminteri|1696::Dan Hedaya|1807::Gabriel Byrne|5096::Giancarlo Esposito|8155::Kevin Pollak|8873::Peter Greene|11089::Suzy Amis
14703	Keeping the Faith	2000	693	29000000	59945183	45::Susie Essman|693::Edward Norton|1227::Anne Bancroft|5177::Holland Taylor|5714::Ben Stiller|5856::Milos¡ Forman|8371::Eli Wallach|10855::Brian George|13413::Rena Sofer|15102::Jenna Elfman|15389::Bodhi Elfman|16667::Lisa Edelstein|18897::Ron Rifkin|27055::Ken Leung|27056::Catherine Lloyd Burns
20094	The People vs. Larry Flynt	1996	5856	35000000	20300385	542::Courtney Love|603::Woody Harrelson|693::Edward Norton|942::Vincent Schiavelli|1346::Crispin Glover|8273::James Cromwell|10375::Norm Macdonald|12329::Miles Chapin|19308::Richard Paul|29682::James Carville|40323::Donna Hanover|43346::Burt Neuborne|43347::Larry Flynt
17072	Rounders	1998	26701		22912409	370::Melina Kanakaredes|693::Edward Norton|848::Gretchen Mol|1347::Martin Landau|3914::Michael Rispoli|5404::John Malkovich|5610::Matt Damon|6752::John Turturro|10376::Josh Mostel|14028::Famke Janssen|34892::Paul Cicero
10770	Apollo 13	1995	1396	52000000	355237933	913::Max Elliott Slade|1397::Ed Harris|1698::Kathleen Quinlan|2370::Tom Hanks|2582::Gary Sinise|3136::Bill Paxton|7287::Kevin Bacon|7288::David Andrews|7289::Chris Ellis|7290::Joe Spano|7291::Marc McClure|7292::Clint Howard|7293::Loren Dean|7294::Mary Kate Schellhardt|7295::Emily Ann Lloyd|7296::Miko Hughes
16540	Planes, Trains and Automobiles	1987	16469	15000000	150823000	490::John Candy|1496::Edie McClurg|2667::Michael McKean|3146::Steve Martin|4123::Dylan Baker|6393::Laila Robins|7287::Kevin Bacon|10378::Larry Hankin|11822::William Windom|13840::Ben Stein|16159::Lyman Ward|17616::Bill Erwin|20148::Olivia Burnette|20184::Richard Herd|30945::Matthew Lawrence
21912	X-Men: First Class	2011	27084	140	353624124	600::Oliver Platt|733::Rose Byrne|762::James Remar|778::Michael Fassbender|4755::Glenn Morshower|6135::January Jones|7287::Kevin Bacon|7656::James McAvoy|7794::Matt Craven|7909::Edi Gathegi|9192::Lucas Till|10307::Brendan Fehr|14966::Jason Flemyng|14968::Nicholas Hoult|18195::Michael Ironside|22277::Jennifer Lawrence|22998::Ray Wise|24550::Aleksander Krupa|26108::Zoë Kravitz|27649::Don Creech|37383::Rade Sherbedgia|42077::Caleb Landry Jones|47854::Álex González|47855::Annabelle Wallis
14548	JFK	1991	4932	40000000	205400000	441::Brian Doyle-Murray|466::Donald Sutherland|490::John Candy|956::Sissy Spacek|1269::Joe Pesci|1599::Gary Oldman|1805::Laurie Metcalf|1928::Walter Matthau|2895::Kevin Costner|2924::Tommy Lee Jones|3899::Michael Rooker|4828::Jack Lemmon|6702::Jay O. Sanders|7287::Kevin Bacon|9101::Wayne Knight|23364::Edward Asner|26520::Beata Pozniak|26521::Don McCoy
11125	Being John Malkovich	1999	4265			340::John Cusack|1326::Catherine Keener|2384::Cameron Diaz|5306::Orson Bean|5404::John Malkovich|9683::Mary Kay Place
12323	Dangerous Liaisons	1988	1526	14000000		140::Glenn Close|2630::Michelle Pfeiffer|5404::John Malkovich
17072	Rounders	1998	26701		22912409	370::Melina Kanakaredes|693::Edward Norton|848::Gretchen Mol|1347::Martin Landau|3914::Michael Rispoli|5404::John Malkovich|5610::Matt Damon|6752::John Turturro|10376::Josh Mostel|14028::Famke Janssen|34892::Paul Cicero
19778	The Man in the Iron Mask	1998	35610	35000000	182968902	145::Hugh Laurie|174::Gérard Depardieu|1556::Jeremy Irons|1807::Gabriel Byrne|2249::Leonardo DiCaprio|5404::John Malkovich|6331::Peter Sarsgaard|13389::Edward Atterton|25776::Anne Parillaud|34544::Judith Godrèche|42613::Peter Saarsgard|42614::David Lowe
16064	No Country for Old Men	2007	3091	25000000	171627166	41::Stephen Root|603::Woody Harrelson|2924::Tommy Lee Jones|5441::Beth Grant|5957::Josh Brolin|7181::Barry Corbin|9607::Javier Bardem|16261::Tess Harper|19502::Kelly Macdonald|31840::Garret Dillahunt
20664	The Thin Red Line	1998	8677	52000000	98126565	340::John Cusack|603::Woody Harrelson|647::Sean Penn|788::Mark Boone Junior|1038::Nick Nolte|1344::John C. Reilly|1694::John Travolta|3522::Elias Koteas|4405::Don Harvey|4935::Jared Leto|6121::Tim Blake Nelson|6707::Adrien Brody|8598::John Savage|8709::Kirk Acevedo|9093::Dash Mihok|9141::George Clooney|11221::Jim Caviezel|11360::Thomas Jane|12759::Arie Verveen|18275::Nick Stahl|21126::Miranda Otto|28770::Larry Romano|28928::Ben Chaplin|29256::Danny Hoch|44790::Penny Allen|44791::Paul Gleeson|44792::John Dee Smith
14773	Kingpin	1996	27299	27000000	25023434	603::Woody Harrelson|1680::Lin Shaye|3020::Steve Tyler|8460::Randy Quaid|9247::Richard Tyson|12753::Chris Elliott|12792::Bill Murray|19120::Rob Moran|20728::Willie Garson|20729::Zen Gesner|23498::Vanessa Angel|27300::William Jordan|27301::Danny Greene
10885	Austin Powers 2	1999	8050	33000000	312016858	603::Woody Harrelson|850::Kevin Durand|1089::Mike Myers|1099::Michael York|1667::Jennifer Coolidge|2311::Robert Wagner|2671::Fred Willard|2713::Will Ferrell|3859::Rob Lowe|4772::Seth Green|5464::Tony Jay|6151::Elvis Costello|6514::Tim Robbins|6759::Heather Graham|7292::Clint Howard|7469::Elizabeth Hurley|8052::Mindy Sterling|8053::Verne Troyer|8054::Gia Carides|8055::Oliver Muirhead|8056::Kristen Johnston|8057::Jeff Garlin|8058::John Mahon|8059::Michael McDonald|8060::Burt Bacharach|8061::Jerry Springer|8062::Steve Wilkos|8063::Rebecca Romijn|8064::J.P. Manoux|8065::Mitch Rouse|8066::Willie Nelson
